month,hour,freq,latitude,longitude,FaA,DuA,DlA,sigmaFaA,sigmaDuA,sigmaDlA
10, 0, 0.0100, -40.0157, -105.2793, 155.9538, 4.5006, 4.2433, 2.8047, 2.6502, 2.2968
10, 0, 0.0150, -40.0157, -105.2793, 149.4763, 4.9529, 5.1473, 3.0592, 2.4666, 2.5999
10, 0, 0.0200, -40.0157, -105.2793, 144.4784, 5.4455, 5.7841, 3.2369, 2.4232, 2.7588
10, 0, 0.0250, -40.0157, -105.2793, 140.3716, 5.8952, 6.2672, 3.3683, 2.4264, 2.8545
10, 0, 0.0300, -40.0157, -105.2793, 136.8692, 6.2928, 6.6511, 3.4696, 2.4472, 2.9168
10, 0, 0.0350, -40.0157, -105.2793, 133.8077, 6.6427, 6.9662, 3.5500, 2.4746, 2.9595
10, 0, 0.0400, -40.0157, -105.2793, 131.0839, 6.9519, 7.2309, 3.6152, 2.5038, 2.9897
10, 0, 0.0500, -40.0157, -105.2793, 126.3913, 7.4722, 7.6537, 3.7140, 2.5606, 3.0274
10, 0, 0.0600, -40.0157, -105.2793, 122.4363, 7.8924, 7.9787, 3.7844, 2.6111, 3.0477
10, 0, 0.0700, -40.0157, -105.2793, 119.0166, 8.2388, 8.2377, 3.8363, 2.6545, 3.0583
10, 0, 0.0800, -40.0157, -105.2793, 116.0052, 8.5291, 8.4492, 3.8753, 2.6915, 3.0632
10, 0, 0.0900, -40.0157, -105.2793, 113.3164, 8.7758, 8.6256, 3.9050, 2.7230, 3.0644
10, 0, 0.1000, -40.0157, -105.2793, 110.8895, 8.9877, 8.7747, 3.9278, 2.7497, 3.0633
10, 0, 0.1500, -40.0157, -105.2793, 101.4371, 9.7088, 9.2677, 3.9823, 2.8337, 3.0425
10, 0, 0.2000, -40.0157, -105.2793, 94.7339, 10.1115, 9.5338, 3.9896, 2.8695, 3.0150
10, 0, 0.2500, -40.0157, -105.2793, 89.6225, 10.3521, 9.6894, 3.9783, 2.8807, 2.9882
10, 0, 0.3000, -40.0157, -105.2793, 85.5515, 10.4988, 9.7821, 3.9590, 2.8785, 2.9634
10, 0, 0.3500, -40.0157, -105.2793, 82.2125, 10.5864, 9.8359, 3.9362, 2.8684, 2.9407
10, 0, 0.4000, -40.0157, -105.2793, 79.4153, 10.6347, 9.8638, 3.9122, 2.8535, 2.9199
10, 0, 0.5000, -40.0157, -105.2793, 74.9799, 10.6576, 9.8716, 3.8643, 2.8164, 2.8834
10, 0, 0.6000, -40.0157, -105.2793, 71.6179, 10.6224, 9.8414, 3.8195, 2.7754, 2.8519
10, 0, 0.7000, -40.0157, -105.2793, 68.9857, 10.5553, 9.7899, 3.7787, 2.7337, 2.8243
10, 0, 0.8000, -40.0157, -105.2793, 66.8751, 10.4699, 9.7262, 3.7419, 2.6931, 2.7996
10, 0, 0.9000, -40.0157, -105.2793, 65.1514, 10.3741, 9.6552, 3.7090, 2.6541, 2.7773
10, 0, 1.0000, -40.0157, -105.2793, 63.7223, 10.2726, 9.5800, 3.6796, 2.6171, 2.7569
10, 0, 1.5000, -40.0157, -105.2793, 59.2169, 9.7514, 9.1883, 3.5733, 2.4625, 2.6740
10, 0, 2.0000, -40.0157, -105.2793, 56.8763, 9.2701, 8.8141, 3.5143, 2.3503, 2.6099
10, 0, 2.5000, -40.0157, -105.2793, 55.3904, 8.8446, 8.4705, 3.4846, 2.2690, 2.5562
10, 0, 3.0000, -40.0157, -105.2793, 54.2524, 8.4700, 8.1564, 3.4745, 2.2105, 2.5091
10, 0, 3.5000, -40.0157, -105.2793, 53.2371, 8.1389, 7.8683, 3.4782, 2.1691, 2.4666
10, 0, 4.0000, -40.0157, -105.2793, 52.2373, 7.8444, 7.6025, 3.4919, 2.1411, 2.4275
10, 0, 5.0000, -40.0157, -105.2793, 50.1058, 7.3440, 7.1262, 3.5401, 2.1145, 2.3566
10, 0, 6.0000, -40.0157, -105.2793, 47.7080, 6.9353, 6.7089, 3.6065, 2.1161, 2.2929
10, 0, 7.0000, -40.0157, -105.2793, 45.0477, 6.5962, 6.3374, 3.6843, 2.1373, 2.2341
10, 0, 8.0000, -40.0157, -105.2793, 42.1709, 6.3112, 6.0026, 3.7695, 2.1725, 2.1793
10, 0, 9.0000, -40.0157, -105.2793, 39.1314, 6.0696, 5.6979, 3.8596, 2.2182, 2.1275
10, 0, 10.0000, -40.0157, -105.2793, 35.9796, 5.8634, 5.4184, 3.9530, 2.2718, 2.0783
10, 0, 15.0000, -40.0157, -105.2793, 19.8196, 5.1917, 4.2877, 3.9530, 2.6095, 1.8591
10, 0, 20.0000, -40.0157, -105.2793, 4.8298, 4.8790, 3.4424, 3.9530, 3.0001, 1.6699
10, 0, 25.0000, -40.0157, -105.2793, -8.1443, 4.8790, 3.4424, 3.9530, 3.0001, 1.6699
10, 0, 30.0000, -40.0157, -105.2793, -19.2924, 4.8790, 3.4424, 3.9530, 3.0001, 1.6699
