month,hour,freq,latitude,longitude,FaA,DuA,DlA,sigmaFaA,sigmaDuA,sigmaDlA
4, 6, 0.01, 40.0157, -105.2793, 159.9212, 3.4697, 2.4656, 3.3198, 3.0812, 3.0812
4, 6, 0.01, 40.0157, -105.2793, 152.4440, 5.9235, 5.7763, 2.7655, 2.0604, 2.0604
4, 6, 0.02, 40.0157, -105.2793, 146.8115, 7.5912, 7.6370, 2.7681, 1.7976, 1.7976
4, 6, 0.03, 40.0157, -105.2793, 142.2504, 8.7989, 8.8292, 2.9315, 1.7965, 1.7965
4, 6, 0.03, 40.0157, -105.2793, 138.3991, 9.7169, 9.6556, 3.1420, 1.9001, 1.9001
4, 6, 0.35, 40.0157, -105.2793, 79.9133, 15.7771, 13.1818, 6.1140, 5.4347, 5.4347
4, 6, 0.04, 40.0157, -105.2793, 132.1001, 11.0276, 10.7188, 3.5699, 2.2103, 2.2103
4, 6, 0.05, 40.0157, -105.2793, 127.0361, 11.9248, 11.3652, 3.9494, 2.5403, 2.5403
4, 6, 0.06, 40.0157, -105.2793, 122.7926, 12.5814, 11.7938, 4.2713, 2.8479, 2.8479
4, 6, 0.07, 40.0157, -105.2793, 119.1377, 13.0843, 12.0949, 4.5425, 3.1242, 3.1242
4, 6, 0.08, 40.0157, -105.2793, 115.9278, 13.4823, 12.3154, 4.7714, 3.3698, 3.3698
4, 6, 0.09, 40.0157, -105.2793, 113.0670, 13.8052, 12.4821, 4.9657, 3.5875, 3.5875
4, 6, 0.10, 40.0157, -105.2793, 110.4883, 14.0723, 12.6113, 5.1313, 3.7808, 3.7808
4, 6, 0.15, 40.0157, -105.2793, 100.4562, 14.9153, 12.9615, 5.6717, 4.4797, 4.4797
4, 6, 0.02, 40.0157, -105.2793, 146.8115, 7.5912, 7.6370, 2.7681, 1.7976, 1.7976
4, 6, 0.25, 40.0157, -105.2793, 87.8778, 15.5780, 13.1572, 6.0630, 5.1607, 5.1607
4, 6, 0.30, 40.0157, -105.2793, 83.5127, 15.7093, 13.1792, 6.1118, 5.3285, 5.3285
4, 6, 0.35, 40.0157, -105.2793, 79.9133, 15.7771, 13.1818, 6.1140, 5.4347, 5.4347
4, 6, 0.40, 40.0157, -105.2793, 76.8811, 15.8038, 13.1731, 6.0872, 5.4992, 5.4992
4, 6, 0.50, 40.0157, -105.2793, 72.0339, 15.7817, 13.1365, 5.9845, 5.5484, 5.5484
4, 6, 0.60, 40.0157, -105.2793, 68.3198, 15.7014, 13.0863, 5.8494, 5.5338, 5.5338
4, 6, 0.70, 40.0157, -105.2793, 65.3824, 15.5898, 13.0289, 5.7023, 5.4834, 5.4834
4, 6, 0.80, 40.0157, -105.2793, 63.0056, 15.4608, 12.9673, 5.5528, 5.4123, 5.4123
4, 6, 0.90, 40.0157, -105.2793, 61.0490, 15.3223, 12.9032, 5.4059, 5.3294, 5.3294
4, 6, 1.00, 40.0157, -105.2793, 59.4161, 15.1788, 12.8375, 5.2640, 5.2398, 5.2398
4, 6, 1.50, 40.0157, -105.2793, 54.2344, 14.4579, 12.4988, 4.6542, 4.7747, 4.7747
4, 6, 2.00, 40.0157, -105.2793, 51.6335, 13.7905, 12.1583, 4.2017, 4.3531, 4.3531
4, 6, 2.50, 40.0157, -105.2793, 50.1718, 13.1897, 11.8230, 3.8714, 3.9938, 3.9938
4, 6, 3.00, 40.0157, -105.2793, 49.2607, 12.6490, 11.4950, 3.6334, 3.6914, 3.6914
4, 6, 3.50, 40.0157, -105.2793, 48.6189, 12.1594, 11.1750, 3.4661, 3.4374, 3.4374
4, 6, 4.00, 40.0157, -105.2793, 48.0987, 11.7133, 10.8631, 3.3541, 3.2239, 3.2239
4, 6, 5.00, 40.0157, -105.2793, 47.1321, 10.9270, 10.2624, 3.2541, 2.8940, 2.8940
4, 6, 6.00, 40.0157, -105.2793, 46.0457, 10.2519, 9.6907, 3.2730, 2.6636, 2.6636
4, 6, 7.00, 40.0157, -105.2793, 44.7447, 9.6623, 9.1455, 3.3751, 2.5077, 2.5077
4, 6, 8.00, 40.0157, -105.2793, 43.2174, 9.1404, 8.6243, 3.5373, 2.4089, 2.4089
4, 6, 9.00, 40.0157, -105.2793, 41.4879, 8.6735, 8.1253, 3.7443, 2.3552, 2.3552
4, 6, 10.00, 40.0157, -105.2793, 39.5971, 8.2521, 7.6464, 3.9854, 2.3376, 2.3376
4, 6, 15.00, 40.0157, -105.2793, 28.9962, 6.6192, 5.5082, 3.9854, 2.6066, 2.6066
4, 6, 20.00, 40.0157, -105.2793, 16.1386, 5.4783, 3.7075, 3.9854, 3.2128, 3.2128
4, 6, 25.00, 40.0157, -105.2793, 0.6380, 5.4783, 3.7075, 3.9854, 3.2128, 3.2128
4, 6, 30.00, 40.0157, -105.2793, -14.6159, 5.4783, 3.7075, 3.9854, 3.2128, 3.2128
